  ,Reg #,AC #,Delivery Yr,SEAT MAP,Configuration
20S,A320,Over,water,,Non have ETOPS
738,N79541 ,3541,2017,Slimline Sky,16F/48E+/102Y
738,N77542 ,3542,2017,Slimline Sky,16F/48E+/102Y
,,,,,
38M,N27251,7251,2021,NEXT,16F/54E+/96Y
38M,N27252,7252,2021,NEXT,16F/54E+/96Y
38M,N27253,7253,2021,NEXT,16F/54E+/96Y
38M,N17254,7254,2021,NEXT,16F/54E+/96Y
38M,N27255,7255,2021,NEXT,16F/54E+/96Y
38M,N27256,7256,2021,NEXT,16F/54E+/96Y
38M,N37257,7257,2021,NEXT,16F/54E+/96Y
38M,N27258,7258,2021,NEXT,16F/54E+/96Y
38M,N77259,7259,2021,NEXT,16F/54E+/96Y
38M,N27260,7260,2021,NEXT,16F/54E+/96Y
38M,N27261,7261,2021,NEXT,16F/54E+/96Y
38M,N17262,7262,2021,NEXT,16F/54E+/96Y
38M,N27263,7263,2021,NEXT,16F/54E+/96Y
38M,N17264,7264,2021,NEXT,16F/54E+/96Y
38M,N17265,7265,2021,NEXT,16F/54E+/96Y
38M,N27266,7266,2021,NEXT,16F/54E+/96Y
38M,N27267,7267,2022,NEXT,16F/54E+/96Y
38M,N27268,7268,2022,NEXT,16F/54E+/96Y
38M,N27269,7269,2022,NEXT,16F/54E+/96Y
38M,N27270,7270,2022,NEXT,16F/54E+/96Y
38M,N27271,7271,2022,NEXT,16F/54E+/96Y
38M,N17272,7272,2022,NEXT,16F/54E+/96Y
38M,N27273,7273,2022,NEXT,16F/54E+/96Y
38M,N27274,7274,2022,NEXT,16F/54E+/96Y
38M,N47275,7275,2022,NEXT,16F/54E+/96Y
38M,N27276,7276,2022,NEXT,16F/54E+/96Y
38M,N27277,7277,2022,NEXT,16F/54E+/96Y
38M,N37278,7278,2022,NEXT,16F/54E+/96Y
38M,N17279,7279,2022,NEXT,16F/54E+/96Y
38M,N47280,7280,2022,NEXT,16F/54E+/96Y
38M,N47281,7281,2022,NEXT,16F/54E+/96Y
38M,N47282,7282,2022,NEXT,16F/54E+/96Y
38M,N27283,7283,2023,NEXT,16F/54E+/96Y
38M,N47284,7284,2022,NEXT,16F/54E+/96Y
38M,N17285,7285,2022,NEXT,16F/54E+/96Y
38M,N57286,7286,2022,NEXT,16F/54E+/96Y
38M,N27287,7287,2022,NEXT,16F/54E+/96Y
38M,N47288,7288,2022,NEXT,16F/54E+/96Y
38M,N17289,7289,2023,NEXT,16F/54E+/96Y
38M,N27290,7290,2023,NEXT,16F/54E+/96Y
38M,N47291,7291,2023,NEXT,16F/54E+/96Y
38M,N27292,7292,2023,NEXT,16F/54E+/96Y
38M,N47293,7293,2023,NEXT,16F/54E+/96Y
38M,N17294,7294,2023,NEXT,16F/54E+/96Y
38M,N37295,7295,2023,NEXT,16F/54E+/96Y
38M,N17296,7296,2023,NEXT,16F/54E+/96Y
38M,N57299,7299,2023,NEXT,16F/54E+/96Y
38M,N17300,7300,2023,NEXT,16F/54E+/96Y
38M,N17301,7301,2023,NEXT,16F/54E+/96Y
38M,N17302,7302,2023,NEXT,16F/54E+/96Y
38M,N17303,7303,2023,NEXT,16F/54E+/96Y
38M,N27304,7304,2023,NEXT,16F/54E+/96Y
38M,N37305,7305,2023,NEXT,16F/54E+/96Y
38M,N17306,7306,2023,NEXT,16F/54E+/96Y
38M,N37307,7307,2023,NEXT,16F/54E+/96Y
38M,N37308,7308,2023,NEXT,16F/54E+/96Y
